MAV,RMS,V,WL,SSC,IEMG,LOGVAR,PF,TP,SE,FR,BW,PSD,P2P,MOV
0.008001,0.026014,0.000677,39.160300,4894.000000,80.006100,-7.298100,32.800000,0.001354,7.669300,0.231920,-19.000000,0.001354,0.004137,palma
0.002960,0.003874,0.000015,12.597400,4960.000000,29.604100,-11.106800,25.400000,0.000030,7.561600,0.262290,-96.400000,0.000030,0.001007,palma
0.011058,0.022220,0.000494,54.349100,4888.000000,110.584000,-7.613400,34.600000,0.000987,7.616500,0.261350,-10.000000,0.000987,0.004461,palma
0.011961,0.028387,0.000806,55.815600,4969.000000,119.609200,-7.123600,32.800000,0.001612,7.645200,0.236140,-9.800000,0.001612,0.004915,palma
0.013025,0.029459,0.000868,63.389500,4811.000000,130.245600,-7.049400,25.800000,0.001736,7.666200,0.265710,-111.800000,0.001736,0.004277,palma
0.005738,0.013292,0.000177,22.521000,4869.000000,57.381700,-8.641100,35.600000,0.000353,7.590800,0.279440,-16.000000,0.000353,0.002364,palma
0.007911,0.015747,0.000248,28.383200,4717.000000,79.111200,-8.302100,29.200000,0.000496,7.601700,0.263860,-17.600000,0.000496,0.002845,palma
0.009432,0.018333,0.000336,42.945300,4736.000000,94.318300,-7.998000,31.400000,0.000672,7.648300,0.244550,-14.400000,0.000672,0.002993,palma
0.005894,0.013324,0.000178,20.309800,4794.000000,58.939800,-8.636300,30.800000,0.000355,7.628800,0.257880,-22.000000,0.000355,0.002254,palma
0.004025,0.005133,0.000026,13.131400,4779.000000,40.253400,-10.544200,27.800000,0.000053,7.412100,0.263900,-99.400000,0.000053,0.001237,palma
0.002989,0.004505,0.000020,9.677800,4885.000000,29.892000,-10.804900,33.000000,0.000041,7.693700,0.255870,-97.600000,0.000041,0.001030,palma
0.017641,0.039760,0.001581,79.105000,4800.000000,176.407800,-6.449700,38.600000,0.003162,7.611300,0.232410,-19.200000,0.003162,0.007109,palma
0.009619,0.022968,0.000528,44.255500,4768.000000,96.195500,-7.547200,33.600000,0.001055,7.639400,0.249500,-82.600000,0.001055,0.003727,palma
0.008763,0.021903,0.000480,42.091300,4910.000000,87.628700,-7.642200,34.200000,0.000959,7.667100,0.245480,-108.600000,0.000959,0.004156,palma
0.009468,0.021865,0.000478,46.421900,4968.000000,94.681300,-7.645700,28.800000,0.000956,7.687900,0.239780,-68.400000,0.000956,0.003915,palma
0.009772,0.021765,0.000474,49.014200,4984.000000,97.715300,-7.654800,26.600000,0.000947,7.649300,0.262540,-151.200000,0.000947,0.003067,palma
0.005624,0.013486,0.000182,22.855500,5010.000000,56.236800,-8.612100,29.400000,0.000364,7.667700,0.261680,-94.200000,0.000364,0.002475,palma
0.011146,0.024360,0.000593,49.740700,4906.000000,111.457500,-7.429600,36.800000,0.001187,7.629600,0.265950,-144.400000,0.001187,0.004152,palma
0.009697,0.023103,0.000534,46.909600,4926.000000,96.971200,-7.535500,29.000000,0.001068,7.658300,0.266750,-126.000000,0.001068,0.003955,palma
0.007256,0.017490,0.000306,34.509300,4913.000000,72.559000,-8.092100,35.000000,0.000612,7.701800,0.247220,-128.000000,0.000612,0.002607,palma
0.007815,0.018231,0.000332,35.976000,4926.000000,78.148100,-8.009100,28.400000,0.000665,7.865000,0.260570,-77.800000,0.000665,0.003268,palma
